,Title,Winner,Award,Year
1782,Marlon Brando,N,Actor,1952
1783,Kirk Douglas,N,Actor,1952
1784,Jose Ferrer,N,Actor,1952
1785,Alec Guinness,N,Actor,1952
1786,Shirley Booth,Y,Actress,1952
1787,Joan Crawford,N,Actress,1952
1788,Bette Davis,N,Actress,1952
1789,Julie Harris,N,Actress,1952
1790,Susan Hayward,N,Actress,1952
1791,Anthony Quinn,Y,Supporting Actor,1952
1792,Richard Burton,N,Supporting Actor,1952
1793,Arthur Hunnicutt,N,Supporting Actor,1952
1794,Victor McLaglen,N,Supporting Actor,1952
1795,Jack Palance,N,Supporting Actor,1952
1796,Gloria Grahame,Y,Supporting Actress,1952
1797,Jean Hagen,N,Supporting Actress,1952
1798,Colette Marchand,N,Supporting Actress,1952
1799,Terry Moore,N,Supporting Actress,1952
1800,Thelma Ritter,N,Supporting Actress,1952
1801,An American in Paris,Y,Picture,1951
1802,A Place in the Sun,N,Picture,1951
1803,A Streetcar Named Desire,N,Picture,1951
1804,Decision Before Dawn,N,Picture,1951
1805,Quo Vadis,N,Picture,1951
1806,Humphrey Bogart,Y,Actor,1951
1807,Marlon Brando,N,Actor,1951
1808,Montgomery Clift,N,Actor,1951
1809,Arthur Kennedy,N,Actor,1951
1810,Fredric March,N,Actor,1951
1811,Vivien Leigh,Y,Actress,1951
1812,Katharine Hepburn,N,Actress,1951
1813,Eleanor Parker,N,Actress,1951
1814,Shelley Winters,N,Actress,1951
1815,Jane Wyman,N,Actress,1951
1816,Karl Malden,Y,Supporting Actor,1951
1817,Leo Genn,N,Supporting Actor,1951
1818,Kevin McCarthy,N,Supporting Actor,1951
1819,Peter Ustinov,N,Supporting Actor,1951
1820,Gig Young,N,Supporting Actor,1951
1821,Kim Hunter,Y,Supporting Actress,1951
1822,Joan Blondell,N,Supporting Actress,1951
1823,Mildred Dunnock,N,Supporting Actress,1951
1824,Lee Grant,N,Supporting Actress,1951
1825,Thelma Ritter,N,Supporting Actress,1951
1826,All About Eve,Y,Picture,1950
1827,Born Yesterday,N,Picture,1950
1828,Father of the Bride,N,Picture,1950
1829,King Solomon's Mines,N,Picture,1950
1830,Sunset Boulevard,N,Picture,1950
1831,Jose Ferrer,Y,Actor,1950
1832,Louis Calhern,N,Actor,1950
1833,William Holden,N,Actor,1950
1834,James Stewart,N,Actor,1950
1835,Spencer Tracy,N,Actor,1950
1836,Judy Holliday,Y,Actress,1950
1837,Anne Baxter,N,Actress,1950
1838,Bette Davis,N,Actress,1950
1839,Eleanor Parker,N,Actress,1950
1840,Gloria Swanson,N,Actress,1950
1841,George Sanders,Y,Supporting Actor,1950
1842,Jeff Chandler,N,Supporting Actor,1950
1843,Edmund Gwenn,N,Supporting Actor,1950
1844,Sam Jaffe,N,Supporting Actor,1950
1845,Erich von Stroheim,N,Supporting Actor,1950
1846,Josephine Hull,Y,Supporting Actress,1950
1847,Hope Emerson,N,Supporting Actress,1950
1848,Celeste Holm,N,Supporting Actress,1950
1849,Nancy Olson,N,Supporting Actress,1950
1850,Thelma Ritter,N,Supporting Actress,1950
1851,All the King's Men,Y,Picture,1949
1852,A Letter to Three Wives,N,Picture,1949
1853,Battleground,N,Picture,1949
1854,The Heiress,N,Picture,1949
1855,Twelve O'Clock High,N,Picture,1949
1856,Broderick Crawford,Y,Actor,1949
1857,Kirk Douglas,N,Actor,1949
1858,Gregory Peck,N,Actor,1949
1859,Richard Todd,N,Actor,1949
1860,John Wayne,N,Actor,1949
1861,Olivia de Havilland,Y,Actress,1949
1862,Jeanne Crain,N,Actress,1949
1863,Susan Hayward,N,Actress,1949
1864,Deborah Kerr,N,Actress,1949
1865,Loretta Young,N,Actress,1949
1866,Dean Jagger,Y,Supporting Actor,1949
1867,John Ireland,N,Supporting Actor,1949
1868,Arthur Kennedy,N,Supporting Actor,1949
1869,Ralph Richardson,N,Supporting Actor,1949
1870,James Whitmore,N,Supporting Actor,1949
1871,Mercedes McCambridge,Y,Supporting Actress,1949
1872,Ethel Barrymore,N,Supporting Actress,1949
1873,Celeste Holm,N,Supporting Actress,1949
1874,Elsa Lanchester,N,Supporting Actress,1949
1875,Ethel Waters,N,Supporting Actress,1949
1876,Hamlet,Y,Picture,1948
1877,Johnny Belinda,N,Picture,1948
1878,The Red Shoes,N,Picture,1948
1879,The Snake Pit,N,Picture,1948
1880,The Treasure of the Sierra Madre,N,Picture,1948
1881,Laurence Olivier,Y,Actor,1948
1882,Lew Ayres,N,Actor,1948
1883,Montgomery Clift,N,Actor,1948
1884,Dan Dailey,N,Actor,1948
1885,Clifton Webb,N,Actor,1948
1886,Jane Wyman,Y,Actress,1948
1887,Ingrid Bergman,N,Actress,1948
1888,Olivia de Havilland,N,Actress,1948
1889,Irene Dunne,N,Actress,1948
1890,Barbara Stanwyck,N,Actress,1948
1891,Walter Huston,Y,Supporting Actor,1948
1892,Charles Bickford,N,Supporting Actor,1948
1893,Jose Ferrer,N,Supporting Actor,1948
1894,Oskar Homolka,N,Supporting Actor,1948
1895,Cecil Kellaway,N,Supporting Actor,1948
1896,Claire Trevor,Y,Supporting Actress,1948
1897,Ellen Corby,N,Supporting Actress,1948
1898,Barbara Bel Geddes,N,Supporting Actress,1948
1899,Agnes Moorehead,N,Supporting Actress,1948
1900,Jean Simmons,N,Supporting Actress,1948
1901,Gentleman's Agreement,Y,Picture,1947
1902,Crossfire,N,Picture,1947
1903,Great Expectations,N,Picture,1947
1904,Miracle on 34th Street,N,Picture,1947
1905,The Bishop's Wife,N,Picture,1947
1906,Ronald Colman,Y,Actor,1947
1907,John Garfield,N,Actor,1947
1908,Gregory Peck,N,Actor,1947
1909,William Powell,N,Actor,1947
1910,Michael Redgrave,N,Actor,1947
1911,Loretta Young,Y,Actress,1947
1912,Joan Crawford,N,Actress,1947
1913,Susan Hayward,N,Actress,1947
1914,Dorothy McGuire,N,Actress,1947
1915,Rosalind Russell,N,Actress,1947
1916,Edmund Gwenn,Y,Supporting Actor,1947
1917,Charles Bickford,N,Supporting Actor,1947
1918,Thomas Gomez,N,Supporting Actor,1947
1919,Robert Ryan,N,Supporting Actor,1947
1920,Richard Widmark,N,Supporting Actor,1947
1921,Celeste Holm,Y,Supporting Actress,1947
1922,Ethel Barrymore,N,Supporting Actress,1947
1923,Gloria Grahame,N,Supporting Actress,1947
1924,Marjorie Main,N,Supporting Actress,1947
1925,Anne Revere,N,Supporting Actress,1947
1926,The Best Years of Our Lives,Y,Picture,1946
1927,Henry V,N,Picture,1946
1928,It's a Wonderful Life,N,Picture,1946
1929,The Razor's Edge,N,Picture,1946
1930,The Yearling,N,Picture,1946
1931,Fredric March,Y,Actor,1946
1932,Laurence Olivier,N,Actor,1946
1933,Larry Parks,N,Actor,1946
1934,Gregory Peck,N,Actor,1946
1935,James Stewart,N,Actor,1946
1936,Olivia de Havilland,Y,Actress,1946
1937,Celia Johnson,N,Actress,1946
1938,Jennifer Jones,N,Actress,1946
1939,Rosalind Russell,N,Actress,1946
1940,Jane Wyman,N,Actress,1946
1941,Harold Russell,Y,Supporting Actor,1946
1942,Charles Coburn,N,Supporting Actor,1946
1943,William Demarest,N,Supporting Actor,1946
1944,Claude Rains,N,Supporting Actor,1946
1945,Clifton Webb,N,Supporting Actor,1946
1946,Anne Baxter,Y,Supporting Actress,1946
1947,Ethel Barrymore,N,Supporting Actress,1946
1948,Lillian Gish,N,Supporting Actress,1946
1949,Flora Robson,N,Supporting Actress,1946
1950,Gale Sondergaard,N,Supporting Actress,1946
1951,The Lost Weekend,Y,Picture,1945
1952,Anchors Aweigh,N,Picture,1945
1953,Mildred Pierce,N,Picture,1945
1954,Spellbound,N,Picture,1945
1955,The Bells of St. Mary's,N,Picture,1945
1956,Ray Milland,Y,Actor,1945
1957,Bing Crosby,N,Actor,1945
1958,Gene Kelly,N,Actor,1945
1959,Gregory Peck,N,Actor,1945
1960,Cornel Wilde,N,Actor,1945
1961,Joan Crawford,Y,Actress,1945
1962,Ingrid Bergman,N,Actress,1945
1963,Greer Garson,N,Actress,1945
1964,Jennifer Jones,N,Actress,1945
1965,Gene Tierney,N,Actress,1945
1966,James Dunn,Y,Supporting Actor,1945
1967,Michael Chekhov,N,Supporting Actor,1945
1968,John Dall,N,Supporting Actor,1945
1969,Robert Mitchum,N,Supporting Actor,1945
1970,J. Carrol Naish,N,Supporting Actor,1945
1971,Anne Revere,Y,Supporting Actress,1945
1972,Eve Arden,N,Supporting Actress,1945
1973,Ann Blyth,N,Supporting Actress,1945
1974,Angela Lansbury,N,Supporting Actress,1945
1975,Joan Lorring,N,Supporting Actress,1945
1976,Going My Way,Y,Picture,1944
1977,Double Indemnity,N,Picture,1944
1978,Gaslight,N,Picture,1944
1979,Since You Went Away,N,Picture,1944
1980,Wilson,N,Picture,1944
1981,Bing Crosby,Y,Actor,1944
1982,Charles Boyer,N,Actor,1944
1983,Barry Fitzgerald,N,Actor,1944
1984,Cary Grant,N,Actor,1944
1985,Alexander Knox,N,Actor,1944
1986,Ingrid Bergman,Y,Actress,1944
1987,Claudette Colbert,N,Actress,1944
1988,Bette Davis,N,Actress,1944
1989,Greer Garson,N,Actress,1944
1990,Barbara Stanwyck,N,Actress,1944
1991,Barry Fitzgerald,Y,Supporting Actor,1944
1992,Hume Cronyn,N,Supporting Actor,1944
1993,Claude Rains,N,Supporting Actor,1944
1994,Clifton Webb,N,Supporting Actor,1944
1995,Monty Woolley,N,Supporting Actor,1944
1996,Ethel Barrymore,Y,Supporting Actress,1944
1997,Jennifer Jones,N,Supporting Actress,1944
1998,Angela Lansbury,N,Supporting Actress,1944
1999,Aline MacMahon,N,Supporting Actress,1944
2000,Agnes Moorehead,N,Supporting Actress,1944
2001,Casablanca,Y,Picture,1943
2002,For Whom the Bell Tolls,N,Picture,1943
2003,Heaven Can Wait,N,Picture,1943
2004,In Which We Serve,N,Picture,1943
2005,Madame Curie,N,Picture,1943
2006,The Human Comedy,N,Picture,1943
2007,The More the Merrier,N,Picture,1943
2008,The Ox-Bow Incident,N,Picture,1943
2009,The Song of Bernadette,N,Picture,1943
2010,Watch on the Rhine,N,Picture,1943
2011,Paul Lukas,Y,Actor,1943
2012,Humphrey Bogart,N,Actor,1943
2013,Gary Cooper,N,Actor,1943
2014,Walter Pidgeon,N,Actor,1943
2015,Mickey Rooney,N,Actor,1943
2016,Jennifer Jones,Y,Actress,1943
2017,Jean Arthur,N,Actress,1943
2018,Ingrid Bergman,N,Actress,1943
2019,Joan Fontaine,N,Actress,1943
2020,Greer Garson,N,Actress,1943
2021,Charles Coburn,Y,Supporting Actor,1943
2022,Charles Bickford,N,Supporting Actor,1943
2023,J. Carrol Naish,N,Supporting Actor,1943
2024,Claude Rains,N,Supporting Actor,1943
2025,Akim Tamiroff,N,Supporting Actor,1943
2026,Katina Paxinou,Y,Supporting Actress,1943
2027,Gladys Cooper,N,Supporting Actress,1943
2028,Paulette Goddard,N,Supporting Actress,1943
2029,Anne Revere,N,Supporting Actress,1943
2030,Lucile Watson,N,Supporting Actress,1943
2031,Mrs. Miniver,Y,Picture,1942
2032,49th Parallel,N,Picture,1942
2033,Kings Row,N,Picture,1942
2034,Random Harvest,N,Picture,1942
2035,The Magnificent Ambersons,N,Picture,1942
2036,The Pied Piper,N,Picture,1942
2037,The Pride of the Yankees,N,Picture,1942
2038,The Talk of the Town,N,Picture,1942
2039,Wake Island,N,Picture,1942
2040,Yankee Doodle Dandy,N,Picture,1942
2041,James Cagney,Y,Actor,1942
2042,Ronald Colman,N,Actor,1942
2043,Gary Cooper,N,Actor,1942
2044,Walter Pidgeon,N,Actor,1942
2045,Monty Woolley,N,Actor,1942
2046,Greer Garson,Y,Actress,1942
2047,Bette Davis,N,Actress,1942
2048,Katharine Hepburn,N,Actress,1942
2049,Rosalind Russell,N,Actress,1942
2050,Teresa Wright,N,Actress,1942
2051,Van Heflin,Y,Supporting Actor,1942
2052,William Bendix,N,Supporting Actor,1942
2053,Walter Huston,N,Supporting Actor,1942
2054,Frank Morgan,N,Supporting Actor,1942
2055,Henry Travers,N,Supporting Actor,1942
2056,Teresa Wright,Y,Supporting Actress,1942
2057,Gladys Cooper,N,Supporting Actress,1942
2058,Agnes Moorehead,N,Supporting Actress,1942
2059,Susan Peters,N,Supporting Actress,1942
2060,May Whitty,N,Supporting Actress,1942
2061,How Green Was My Valley,Y,Picture,1941
2062,Blossoms in the Dust,N,Picture,1941
2063,Citizen Kane,N,Picture,1941
2064,Here Comes Mr. Jordan,N,Picture,1941
2065,Hold Back the Dawn,N,Picture,1941
2066,One Foot in Heaven,N,Picture,1941
2067,Sergeant York,N,Picture,1941
2068,Suspicion,N,Picture,1941
2069,The Little Foxes,N,Picture,1941
2070,The Maltese Falcon,N,Picture,1941
2071,Gary Cooper,Y,Actor,1941
2072,Cary Grant,N,Actor,1941
2073,Walter Huston,N,Actor,1941
2074,Robert Montgomery,N,Actor,1941
2075,Orson Welles,N,Actor,1941
2076,Joan Fontaine,Y,Actress,1941
2077,Bette Davis,N,Actress,1941
2078,Olivia de Havilland,N,Actress,1941
2079,Greer Garson,N,Actress,1941
2080,Barbara Stanwyck,N,Actress,1941
2081,Donald Crisp,Y,Supporting Actor,1941
2082,Walter Brennan,N,Supporting Actor,1941
2083,Charles Coburn,N,Supporting Actor,1941
2084,James Gleason,N,Supporting Actor,1941
2085,Sydney Greenstreet,N,Supporting Actor,1941
2086,Mary Astor,Y,Supporting Actress,1941
2087,Sara Allgood,N,Supporting Actress,1941
2088,Patricia Collinge,N,Supporting Actress,1941
2089,Teresa Wright,N,Supporting Actress,1941
2090,Margaret Wycherly,N,Supporting Actress,1941
2091,Rebecca,Y,Picture,1940
2092,"All This, and Heaven Too",N,Picture,1940
2093,Foreign Correspondent,N,Picture,1940
2094,Kitty Foyle,N,Picture,1940
2095,Our Town,N,Picture,1940
2096,The Grapes of Wrath,N,Picture,1940
2097,The Great Dictator,N,Picture,1940
2098,The Letter,N,Picture,1940
2099,The Long Voyage Home,N,Picture,1940
2100,The Philadelphia Story,N,Picture,1940
2101,James Stewart,Y,Actor,1940
2102,Charlie Chaplin,N,Actor,1940
2103,Henry Fonda,N,Actor,1940
2104,Raymond Massey,N,Actor,1940
2105,Laurence Olivier,N,Actor,1940
2106,Ginger Rogers,Y,Actress,1940
2107,Bette Davis,N,Actress,1940
2108,Joan Fontaine,N,Actress,1940
2109,Katharine Hepburn,N,Actress,1940
2110,Martha Scott,N,Actress,1940
2111,Walter Brennan,Y,Supporting Actor,1940
2112,Albert Bassermann,N,Supporting Actor,1940
2113,William Gargan,N,Supporting Actor,1940
2114,Jack Oakie,N,Supporting Actor,1940
2115,James Stephenson,N,Supporting Actor,1940
2116,Jane Darwell,Y,Supporting Actress,1940
2117,Judith Anderson,N,Supporting Actress,1940
2118,Ruth Hussey,N,Supporting Actress,1940
2119,Barbara O'Neil,N,Supporting Actress,1940
2120,Marjorie Rambeau,N,Supporting Actress,1940
2121,Gone with the Wind,Y,Picture,1939
2122,Dark Victory,N,Picture,1939
2123,"Goodbye, Mr. Chips",N,Picture,1939
2124,Love Affair,N,Picture,1939
2125,Mr. Smith Goes to Washington,N,Picture,1939
2126,Ninotchka,N,Picture,1939
2127,Of Mice and Men,N,Picture,1939
2128,Stagecoach,N,Picture,1939
2129,The Wizard of Oz,N,Picture,1939
2130,Wuthering Heights,N,Picture,1939
2131,Robert Donat,Y,Actor,1939
2132,Clark Gable,N,Actor,1939
2133,Laurence Olivier,N,Actor,1939
2134,Mickey Rooney,N,Actor,1939
2135,James Stewart,N,Actor,1939
2136,Vivien Leigh,Y,Actress,1939
2137,Bette Davis,N,Actress,1939
2138,Irene Dunne,N,Actress,1939
2139,Greta Garbo,N,Actress,1939
2140,Greer Garson,N,Actress,1939
2141,Thomas Mitchell,Y,Supporting Actor,1939
2142,Brian Aherne,N,Supporting Actor,1939
2143,Harry Carey,N,Supporting Actor,1939
2144,Brian Donlevy,N,Supporting Actor,1939
2145,Claude Rains,N,Supporting Actor,1939
2146,Hattie McDaniel,Y,Supporting Actress,1939
2147,Olivia de Havilland,N,Supporting Actress,1939
2148,Geraldine Fitzgerald,N,Supporting Actress,1939
2149,Edna May Oliver,N,Supporting Actress,1939
2150,Maria Ouspenskaya,N,Supporting Actress,1939
2151,You Can't Take It With You,Y,Picture,1938
2152,Alexander's Ragtime Band,N,Picture,1938
2153,Boys Town,N,Picture,1938
2154,Four Daughters,N,Picture,1938
2155,Grand Illusion,N,Picture,1938
2156,Jezebel,N,Picture,1938
2157,Pygmalion,N,Picture,1938
2158,Test Pilot,N,Picture,1938
2159,The Adventures of Robin Hood,N,Picture,1938
2160,The Citadel,N,Picture,1938
2161,Spencer Tracy,Y,Actor,1938
2162,Charles Boyer,N,Actor,1938
2163,James Cagney,N,Actor,1938
2164,Robert Donat,N,Actor,1938
2165,Leslie Howard,N,Actor,1938
2166,Bette Davis,Y,Actress,1938
2167,Fay Bainter,N,Actress,1938
2168,Wendy Hiller,N,Actress,1938
2169,Norma Shearer,N,Actress,1938
2170,Margaret Sullavan,N,Actress,1938
2171,Walter Brennan,Y,Supporting Actor,1938
2172,John Garfield,N,Supporting Actor,1938
2173,Gene Lockhart,N,Supporting Actor,1938
2174,Robert Morley,N,Supporting Actor,1938
2175,Basil Rathbone,N,Supporting Actor,1938
2176,Fay Bainter,Y,Supporting Actress,1938
2177,Beulah Bondi,N,Supporting Actress,1938
2178,Billie Burke,N,Supporting Actress,1938
2179,Spring Byington,N,Supporting Actress,1938
2180,Miliza Korjus,N,Supporting Actress,1938
2181,The Life of Emile Zola,Y,Picture,1937
2182,A Star Is Born,N,Picture,1937
2183,Captains Courageous,N,Picture,1937
2184,Dead End,N,Picture,1937
2185,In Old Chicago,N,Picture,1937
2186,Lost Horizon,N,Picture,1937
2187,One Hundred Men and a Girl,N,Picture,1937
2188,Stage Door,N,Picture,1937
2189,The Awful Truth,N,Picture,1937
2190,The Good Earth,N,Picture,1937
2191,Spencer Tracy,Y,Actor,1937
2192,Charles Boyer,N,Actor,1937
2193,Fredric March,N,Actor,1937
2194,Robert Montgomery,N,Actor,1937
2195,Paul Muni,N,Actor,1937
2196,Luise Rainer,Y,Actress,1937
2197,Irene Dunne,N,Actress,1937
2198,Greta Garbo,N,Actress,1937
2199,Janet Gaynor,N,Actress,1937
2200,Barbara Stanwyck,N,Actress,1937
2201,Joseph Schildkraut,Y,Supporting Actor,1937
2202,Ralph Bellamy,N,Supporting Actor,1937
2203,Thomas Mitchell,N,Supporting Actor,1937
2204,H. B. Warner,N,Supporting Actor,1937
2205,Roland Young,N,Supporting Actor,1937
2206,Alice Brady,Y,Supporting Actress,1937
2207,Andrea Leeds,N,Supporting Actress,1937
2208,Anne Shirley,N,Supporting Actress,1937
2209,Claire Trevor,N,Supporting Actress,1937
2210,May Whitty,N,Supporting Actress,1937
2211,The Great Ziegfeld,Y,Picture,1936
2212,A Tale of Two Cities,N,Picture,1936
2213,Anthony Adverse,N,Picture,1936
2214,Dodsworth,N,Picture,1936
2215,Libeled Lady,N,Picture,1936
2216,Mr. Deeds Goes to Town,N,Picture,1936
2217,Romeo and Juliet,N,Picture,1936
2218,San Francisco,N,Picture,1936
2219,The Story of Louis Pasteur,N,Picture,1936
2220,Three Smart Girls,N,Picture,1936
2221,Paul Muni,Y,Actor,1936
2222,Gary Cooper,N,Actor,1936
2223,Walter Huston,N,Actor,1936
2224,William Powell,N,Actor,1936
2225,Spencer Tracy,N,Actor,1936
2226,Luise Rainer,Y,Actress,1936
2227,Irene Dunne,N,Actress,1936
2228,Gladys George,N,Actress,1936
2229,Carole Lombard,N,Actress,1936
2230,Norma Shearer,N,Actress,1936
2231,Walter Brennan,Y,Supporting Actor,1936
2232,Mischa Auer,N,Supporting Actor,1936
2233,Stuart Erwin,N,Supporting Actor,1936
2234,Basil Rathbone,N,Supporting Actor,1936
2235,Akim Tamiroff,N,Supporting Actor,1936
2236,Gale Sondergaard,Y,Supporting Actress,1936
2237,Beulah Bondi,N,Supporting Actress,1936
2238,Alice Brady,N,Supporting Actress,1936
2239,Bonita Granville,N,Supporting Actress,1936
2240,Maria Ouspenskaya,N,Supporting Actress,1936
2241,Mutiny on the Bounty,Y,Picture,1935
2242,A Midsummer Night's Dream,N,Picture,1935
2243,Alice Adams,N,Picture,1935
2244,Broadway Melody of 1936,N,Picture,1935
2245,Captain Blood,N,Picture,1935
2246,David Copperfield,N,Picture,1935
2247,Les Misérables,N,Picture,1935
2248,Naughty Marietta,N,Picture,1935
2249,Ruggles of Red Gap,N,Picture,1935
2250,The Informer,N,Picture,1935
2251,The Lives of a Bengal Lancer,N,Picture,1935
2252,Top Hat,N,Picture,1935
2253,Victor McLaglen,Y,Actor,1935
2254,Clark Gable,N,Actor,1935
2255,Charles Laughton,N,Actor,1935
2256,Franchot Tone,N,Actor,1935
2257,Bette Davis,Y,Actress,1935
2258,Elisabeth Bergner,N,Actress,1935
2259,Claudette Colbert,N,Actress,1935
2260,Katharine Hepburn,N,Actress,1935
2261,Miriam Hopkins,N,Actress,1935
2262,Merle Oberon,N,Actress,1935
2263,It Happened One Night,Y,Picture,1934
2264,Cleopatra,N,Picture,1934
2265,Flirtation Walk,N,Picture,1934
2266,Here Comes the Navy,N,Picture,1934
2267,Imitation of Life,N,Picture,1934
2268,One Night of Love,N,Picture,1934
2269,The Barretts of Wimpole Street,N,Picture,1934
2270,The Gay Divorcee,N,Picture,1934
2271,The House of Rothschild,N,Picture,1934
2272,The Thin Man,N,Picture,1934
2273,The White Parade,N,Picture,1934
2274,Viva Villa!,N,Picture,1934
2275,Clark Gable,Y,Actor,1934
2276,Frank Morgan,N,Actor,1934
2277,William Powell,N,Actor,1934
2278,Claudette Colbert,Y,Actress,1934
2279,Bette Davis,N,Actress,1934
2280,Grace Moore,N,Actress,1934
2281,Norma Shearer,N,Actress,1934
2282,Cavalcade,Y,Picture,1933
2283,42nd Street,N,Picture,1933
2284,A Farewell to Arms,N,Picture,1933
2285,I Am a Fugitive from a Chain Gang,N,Picture,1933
2286,Lady for a Day,N,Picture,1933
2287,Little Women,N,Picture,1933
2288,She Done Him Wrong,N,Picture,1933
2289,Smilin' Through,N,Picture,1933
2290,State Fair,N,Picture,1933
2291,The Private Life of Henry VIII,N,Picture,1933
2292,Charles Laughton,Y,Actor,1933
2293,Leslie Howard,N,Actor,1933
2294,Paul Muni,N,Actor,1933
2295,Katharine Hepburn,Y,Actress,1933
2296,May Robson,N,Actress,1933
2297,Diana Wynyard,N,Actress,1933
2298,Grand Hotel,Y,Picture,1932
2299,Arrowsmith,N,Picture,1932
2300,Bad Girl,N,Picture,1932
2301,Five Star Final,N,Picture,1932
2302,One Hour with You,N,Picture,1932
2303,Shanghai Express,N,Picture,1932
2304,The Champ,N,Picture,1932
2305,The Smiling Lieutenant,N,Picture,1932
2306,Wallace Beery,Y,Actor,1932
2307,Fredric March,Y,Actor,1932
2308,Alfred Lunt,N,Actor,1932
2309,Helen Hayes,Y,Actress,1932
2310,Marie Dressler,N,Actress,1932
2311,Lynn Fontanne,N,Actress,1932
2312,Cimarron,Y,Picture,1931
2313,East Lynne,N,Picture,1931
2314,Skippy,N,Picture,1931
2315,The Front Page,N,Picture,1931
2316,Trader Horn,N,Picture,1931
2317,Lionel Barrymore,Y,Actor,1931
2318,Jackie Cooper,N,Actor,1931
2319,Richard Dix,N,Actor,1931
2320,Fredric March,N,Actor,1931
2321,Adolphe Menjou,N,Actor,1931
2322,Marie Dressler,Y,Actress,1931
2323,Marlene Dietrich,N,Actress,1931
2324,Irene Dunne,N,Actress,1931
2325,Ann Harding,N,Actress,1931
2326,Norma Shearer,N,Actress,1931
2327,All Quiet on the Western Front,Y,Picture,1930
2328,Disraeli,N,Picture,1930
2329,The Big House,N,Picture,1930
2330,The Divorcee,N,Picture,1930
2331,The Love Parade,N,Picture,1930
2332,George Arliss,Y,Actor,1930
2333,George Arliss,N,Actor,1930
2334,Wallace Beery,N,Actor,1930
2335,Maurice Chevalier,N,Actor,1930
2336,Maurice Chevalier,N,Actor,1930
2337,Ronald Colman,N,Actor,1930
2338,Ronald Colman,N,Actor,1930
2339,Lawrence Tibbett,N,Actor,1930
2340,Norma Shearer,Y,Actress,1930
2341,Nancy Carroll,N,Actress,1930
2342,Ruth Chatterton,N,Actress,1930
2343,Greta Garbo,N,Actress,1930
2344,Greta Garbo,N,Actress,1930
2345,Norma Shearer,N,Actress,1930
2346,Gloria Swanson,N,Actress,1930
2347,The Broadway Melody,Y,Picture,1929
2348,Alibi,N,Picture,1929
2349,In Old Arizona,N,Picture,1929
2350,The Hollywood Revue of 1929,N,Picture,1929
2351,The Patriot,N,Picture,1929
2352,Warner Baxter,Y,Actor,1929
2353,George Bancroft,N,Actor,1929
2354,Chester Morris,N,Actor,1929
2355,Paul Muni,N,Actor,1929
2356,Lewis Stone,N,Actor,1929
2357,Mary Pickford,Y,Actress,1929
2358,Ruth Chatterton,N,Actress,1929
2359,Betty Compson,N,Actress,1929
2360,Jeanne Eagels,N,Actress,1929
2361,Corinne Griffith,N,Actress,1929
2362,Bessie Love,N,Actress,1929
2363,Wings,Y,Picture,1928
2364,Seventh Heaven,N,Picture,1928
2365,The Racket,N,Picture,1928
2366,Emil Jannings,Y,Actor,1928
2367,Richard Barthelmess,N,Actor,1928
2368,Richard Barthelmess,N,Actor,1928
2369,Janet Gaynor,Y,Actress,1928
2370,Louise Dresser,N,Actress,1928
2371,Janet Gaynor,N,Actress,1928
2372,Janet Gaynor,N,Actress,1928
2373,Gloria Swanson,N,Actress,1928
